"Token","ShortName","Series","CompanyName","TickSize","LotSize","ScripCode","MarketLot","BCastFlag","AVMBuyMargin","AVMSellMargin","ScripID","ScripName","GroupName","NdFlag","NDSDate","NDEDate","SuspStatus","avmflag","SuspensionReason","Suspensiondate","DateOfListing","DateOfDeListing","IssuePrice","FaceValue","ISINCode","52WeeksHigh","52WeeksLow","LifeTimeHigh","LifeTimeLow","HighDate","LowDate","MarginPercentage","ExchangeCode"
"937985","SAKN26","DR","10% Sakthi Finance Ltd Apr 27",1224,1,"937985",0,0,0,0,"10SFL27","10% Sakthi Finance Ltd Apr 27","","","","","","","","","","",816,1000,"INE302E07466",1043.4,851,1043.4,851,"","","","10SFL27"
"937987","SAKN27","DR","0% Sakthi Finance Ltd. Apr 27",1200,1,"937987",0,0,0,0,"SFL290422C","0% Sakthi Finance Ltd. Apr 27","","","","","","","","","","",800,1000,"INE302E07474",1000,1000,1000,1000,"","","","SFL290422C"
"938592","SAKN28","DR","SAKTHI FINANCE LTD I 08MY25",1110,1,"938592",0,0,0,0,"9SF25","SAKTHI FINANCE LTD I 08MY25","","","","","","","","","","",740,1000,"INE302E07573",0,0,0,0,"","","","9SF25"
"938594","SAKN29","DR","SAKTHI FINANCE LTD II 08MY25",1145.76,1,"938594",0,0,0,0,"SFL8523","SAKTHI FINANCE LTD II 08MY25","","","","","","","","","","",763.84,1000,"INE302E07508",0,0,0,0,"","","","SFL8523"
"938596","SAKN30","DR","SAKTHI FINANCE LTD III 08MY26",1200,1,"938596",0,0,0,0,"925SFL26","SAKTHI FINANCE LTD III 08MY26","","","","","","","","","","",800,1000,"INE302E07540",0,0,0,0,"","","","925SFL26"
"938598","SAKN31","DR","SAKTHI FINANCE LTD IV 08MY26",1200,1,"938598",0,0,0,0,"SFL080523","SAKTHI FINANCE LTD IV 08MY26","","","","","","","","","","",800,1000,"INE302E07516",0,0,0,0,"","","","SFL080523"
"938600","SAKN32","DR","SAKTHI FINANCE LTD V 08MY27",1200,1,"938600",0,0,0,0,"950SFL27","SAKTHI FINANCE LTD V 08MY27","","","","","","","","","","",800,1000,"INE302E07557",0,0,0,0,"","","","950SFL27"
"938602","SAKN33","DR","SAKTHI FINANCE LTD VI 08MY27",1200,1,"938602",0,0,0,0,"SFL80523","SAKTHI FINANCE LTD VI 08MY27","","","","","","","","","","",800,1000,"INE302E07490",0,0,0,0,"","","","SFL80523"
"938604","SAKN34","DR","SAKTHI FINANCE LTD VII 08MY28",1181.7,1,"938604",0,0,0,0,"1025SFL28","SAKTHI FINANCE LTD VII 08MY28","","","","","","","","","","",787.8,1000,"INE302E07565",0,0,0,0,"","","","1025SFL28"
"938606","SAKN35","DR","SAKTHI FINANCE LTD VIII 08MY28",1200,1,"938606",0,0,0,0,"SFL852023","SAKTHI FINANCE LTD VIII 08MY28","","","","","","","","","","",800,1000,"INE302E07524",0,0,0,0,"","","","SFL852023"
"938608","SAKN36","DR","SAKTHI FINANCE LTD IX 08JU30",1200,1,"938608",0,0,0,0,"SFL08523","SAKTHI FINANCE LTD IX 08JU30","","","","","","","","","","",800,1000,"INE302E07532",0,0,0,0,"","","","SFL08523"
"935716","SAKND2","DR","SAKTHI FINANCE SR2 18MY18 FV1K",0,1,"935716",0,0,0,0,"0SFL18","SAKTHI FINANCE SR2 18MY18 FV1K","","","","","","","","","","",0,1000,"INE302E07102",0,0,1150,1050,"","","","0SFL18"
"935722","SAKND3","DR","SAKTHI FINANCE LTD NCD",0,1,"935722",0,0,0,0,"0SFL19","SAKTHI FINANCE LTD NCD","","","","","","","","","","",0,10,"INE302E07136",0,0,1025,1025,"","","","0SFL19"
"937583","SAKND6","DR","9.5% Sakthi Finance Ltd Sep 23",1182,1,"937583",0,0,0,0,"95SFL23","9.5% Sakthi Finance Ltd Sep 23","","","","","","","","","","",788,1000,"INE302E07334",1000,932.8,1000,812.4,"","","","95SFL23"
"937585","SAKND7","DR","0% Sakthi Finance Ltd. Sep 23",1463.4,1,"937585",0,0,0,0,"ZCSFL23","0% Sakthi Finance Ltd. Sep 23","","","","","","","","","","",975.6,1000,"INE302E07342",1219.8,892.4,1219.8,892.4,"","","","ZCSFL23"
"937587","SAKND8","DR","9.75% Sakthi Finance Oct 24",1104,1,"937587",0,0,0,0,"975SFL024","9.75% Sakthi Finance Oct 24","","","","","","","","","","",736,1000,"INE302E07359",1220,850.1,1220,809,"","","","975SFL024"
"937589","SAKND9","DR","0% Sakthi Finance Ltd. Oct 24",1405.3,1,"937589",0,0,0,0,"ZCSFL24","0% Sakthi Finance Ltd. Oct 24","","","","","","","","","","",936.88,1000,"INE302E07367",1201.11,880.2,1201.11,880.2,"","","","ZCSFL24"
"700108","SAKPRE","DR","SAKUMA EXPORTS 5% PREF.SHARES",0,1,"700108",0,0,0,0,"SELCRPS","SAKUMA EXPORTS 5% PREF.SHARES","","","","","","","","","","",0,100,"INE190H04010",108,72,108,34,"","","","SELCRPS"
"590051","SAKSOF","C","SAKSOFT LIMITED",342.1,1,"590051",0,0,0,0,"SAKSOFT","SAKSOFT LIMITED","","","","","","","","","","",309.6,1,"INE667G01023",399.4,103.25,399.4,2.86,"","","","SAKSOFT"
"507315","SAKSUG","DR","SAKTHI SUGARS LTD",34.47,1,"507315",0,0,0,0,"SAKHTISUG","SAKTHI SUGARS LTD","","","","","","","","","","",22.99,10,"INE623A01011",36.47,18.07,274.95,4.5,"","","","SAKHTISUG"
"961659","SAKWAR","DR","SAKUMA EXPORTS LTD WARRANT",0,1,"961659",0,0,0,0,"","SAKUMA EXPORTS LTD WARRANT","","","","","","","","","","",0,10,"INE190H13011",1.45,0.6,17,0.6,"","","",""
"590056","SALCOT","DR","SALONA COTSPIN LTD",346.95,1,"590056",0,0,0,0,"SALONACOT","SALONA COTSPIN LTD","","","","","","","","","","",231.35,10,"INE498E01010",331,202,372,6.37,"","","","SALONACOT"
"517059","SALELE","DR","SALZER ELECTRONICS LTD",487.4,1,"517059",0,0,0,0,"SALZER","SALZER ELECTRONICS LTD","","","","","","","","","","",325,10,"INE457F01013",430.95,221.45,430.95,3.85,"","","","SALZER"
"540181","SALERO","DR","SALEM ERODE INVESTMENTS LTD",42.9,1,"540181",0,0,0,0,"SALEM","SALEM ERODE INVESTMENTS LTD","","","","","","","","","","",35.1,1,"INE894E01028",53.3,35,122.45,1.25,"","","","SALEM"
"500370","SALINT","DR","SALORA INTERNATIONAL LIMITED",77.47,1,"500370",0,0,0,0,"SALORAINTL","SALORA INTERNATIONAL LIMITED","","","","","","","","","","",51.65,10,"INE924A01013",69,29.55,540,4,"","","","SALORAINTL"
